filename,class,indicator,compliant,binary,domain,split
Pepper__bell___Bacterial_spot__baaf70ae-a980-4cf0-a012-de1c2a35a2bd___JR_B.Spot 8822.JPG,Pepper__bell___Bacterial_spot,bacterial_infection,False,0,agriculture,train
Tomato__Tomato_YellowLeaf__Curl_Virus__0808b0d2-02be-4845-b713-276f9b9ab890___YLCV_GCREC 5474.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,viral_infection,False,0,agriculture,train
Potato___Early_blight__0f223bbc-d2b4-4d58-8314-359d92d0102b___RS_Early.B 8052.JPG,Potato___Early_blight,fungal_blight,False,0,agriculture,train
Tomato_Early_blight__d418610e-e676-4722-b84a-6de973499fa9___RS_Erly.B 9425.JPG,Tomato_Early_blight,fungal_blight,False,0,agriculture,train
Pepper__bell___Bacterial_spot__43fb5703-5a76-47cf-b027-42a9bd601401___JR_B.Spot 9033.JPG,Pepper__bell___Bacterial_spot,bacterial_infection,False,0,agriculture,train
Tomato_Spider_mites_Two_spotted_spider_mite__8f46dd1e-a67f-4e94-87c2-8a405b9e3f49___Com.G_SpM_FL 9639.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,pest_infestation,False,0,agriculture,train
Tomato_Spider_mites_Two_spotted_spider_mite__8c849e11-f45e-4190-a5e7-d67a468a984c___Com.G_SpM_FL 9268.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,pest_infestation,False,0,agriculture,train
Tomato_Early_blight__0efaac13-1988-48db-aec3-f31df3045b95___RS_Erly.B 8342.JPG,Tomato_Early_blight,fungal_blight,False,0,agriculture,train
Tomato_Bacterial_spot__54f6ee80-e418-4320-b8bc-789e702c4b14___GCREC_Bact.Sp 6328.JPG,Tomato_Bacterial_spot,bacterial_infection,False,0,agriculture,train
Potato___healthy__1ae826e2-5148-47bd-a44c-711ec9cc9c75___RS_HL 1954.JPG,Potato___healthy,crop_healthy,True,1,agriculture,train
Tomato_healthy__18fa8f7f-ef94-4a3b-9c79-5f4362323134___RS_HL 9977.JPG,Tomato_healthy,crop_healthy,True,1,agriculture,train
Pepper__bell___healthy__d670dc7a-8f79-477b-8cb3-170466f71667___JR_HL 8848.JPG,Pepper__bell___healthy,crop_healthy,True,1,agriculture,train
Tomato_Late_blight__91f4f56a-b0c8-469f-88a7-47908efa5842___RS_Late.B 5437.JPG,Tomato_Late_blight,fungal_blight,False,0,agriculture,train
Tomato__Tomato_mosaic_virus__d636946f-b3da-4b36-aeb6-f602ef86a245___PSU_CG 2101.JPG,Tomato__Tomato_mosaic_virus,viral_infection,False,0,agriculture,train
Tomato_Late_blight__ebbdadc5-972c-45fb-a6c2-99e8015cf4a9___RS_Late.B 5479.JPG,Tomato_Late_blight,fungal_blight,False,0,agriculture,train
Potato___healthy__ec6e43d3-512d-4908-99f2-c9e2a0be54be___RS_HL 4202.JPG,Potato___healthy,crop_healthy,True,1,agriculture,train
Tomato_Early_blight__56f361f0-4a14-4fc1-acc4-798e6614f8fb___RS_Erly.B 8313.JPG,Tomato_Early_blight,fungal_blight,False,0,agriculture,train
Potato___Early_blight__5dbb2c15-fc42-4611-b590-9d92d4ce2a85___RS_Early.B 7312.JPG,Potato___Early_blight,fungal_blight,False,0,agriculture,train
Potato___Late_blight__dbad8fb5-90a0-4bcc-902e-7b7b632d0233___RS_LB 4036.JPG,Potato___Late_blight,fungal_blight,False,0,agriculture,train
Potato___Late_blight__5b3de8b6-0690-4a35-ab9d-ef6617c548ff___RS_LB 2925.JPG,Potato___Late_blight,fungal_blight,False,0,agriculture,train
Tomato__Target_Spot__cfac7302-5b74-47a6-b5ca-9c8ca6e29f73___Com.G_TgS_FL 0886.JPG,Tomato__Target_Spot,leaf_disease,False,0,agriculture,train
Tomato_Leaf_Mold__7b20fb82-3213-4761-9b55-70f9e9fdc588___Crnl_L.Mold 8641.JPG,Tomato_Leaf_Mold,fungal_blight,False,0,agriculture,train
Tomato__Tomato_mosaic_virus__9563b3bb-b942-4d32-9582-0b4021aaf116___PSU_CG 2229.JPG,Tomato__Tomato_mosaic_virus,viral_infection,False,0,agriculture,train
Tomato__Tomato_mosaic_virus__08e45674-8d1e-4c3c-804a-663d9fef1ead___PSU_CG 2249.JPG,Tomato__Tomato_mosaic_virus,viral_infection,False,0,agriculture,train
Tomato_Early_blight__ba75cd48-68cb-49cb-9d79-d03c1b007852___RS_Erly.B 7432.JPG,Tomato_Early_blight,fungal_blight,False,0,agriculture,train
Tomato__Tomato_YellowLeaf__Curl_Virus__552e4223-9503-49d7-b22c-33d1dac5ee78___UF.GRC_YLCV_Lab 02460.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,viral_infection,False,0,agriculture,train
Potato___Late_blight__35c3e2fe-7b97-4137-adc6-aada45306425___RS_LB 4123.JPG,Potato___Late_blight,fungal_blight,False,0,agriculture,train
Tomato_Early_blight__757b49d0-db8e-4352-820a-9f0bdb7d2657___RS_Erly.B 7748.JPG,Tomato_Early_blight,fungal_blight,False,0,agriculture,train
Tomato_Spider_mites_Two_spotted_spider_mite__c65bee06-904b-4e58-a1e8-9f50d4d19fa7___Com.G_SpM_FL 9414.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,pest_infestation,False,0,agriculture,train
Tomato_Leaf_Mold__d998fc3d-1314-4f78-86b7-ca3bf205fe6a___Crnl_L.Mold 7168.JPG,Tomato_Leaf_Mold,fungal_blight,False,0,agriculture,train
Tomato_Bacterial_spot__1addf690-441a-40c5-b1e7-c618a8af1f40___GCREC_Bact.Sp 3744.JPG,Tomato_Bacterial_spot,bacterial_infection,False,0,agriculture,train
Tomato_Bacterial_spot__67c8bbdb-ba79-4c64-897f-e9052728df45___GCREC_Bact.Sp 3008.JPG,Tomato_Bacterial_spot,bacterial_infection,False,0,agriculture,train
Tomato_Bacterial_spot__172458d3-8e11-4e75-9f39-d7e96e885108___GCREC_Bact.Sp 3071.JPG,Tomato_Bacterial_spot,bacterial_infection,False,0,agriculture,train
Potato___healthy__111cd9d8-4d27-4225-be9e-d29b21cf56b9___RS_HL 5419.JPG,Potato___healthy,crop_healthy,True,1,agriculture,train
Potato___healthy__b35b9f8b-daca-4d12-a5be-defe68d0acc5___RS_HL 1903.JPG,Potato___healthy,crop_healthy,True,1,agriculture,train
Pepper__bell___healthy__c8c24f99-957d-4711-92b5-37520cabb5d3___JR_HL 8023.JPG,Pepper__bell___healthy,crop_healthy,True,1,agriculture,train
Tomato_Septoria_leaf_spot__fbd92c9a-47de-431a-b3cb-fb25193b1e09___Keller.St_CG 2045.JPG,Tomato_Septoria_leaf_spot,leaf_disease,False,0,agriculture,train
Potato___Late_blight__12ce2ab1-14c4-4960-81d4-e6ae776510e9___RS_LB 2880.JPG,Potato___Late_blight,fungal_blight,False,0,agriculture,train
Potato___Early_blight__1b0a2898-00b9-4a12-b4dc-a89b77b9e8b7___RS_Early.B 6928.JPG,Potato___Early_blight,fungal_blight,False,0,agriculture,train
Tomato__Tomato_YellowLeaf__Curl_Virus__07d50744-753e-41f2-b637-99f2ff6c186d___UF.GRC_YLCV_Lab 01558.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,viral_infection,False,0,agriculture,train
Tomato__Target_Spot__9ab320dc-b7f4-42ef-82ed-77c6431d0468___Com.G_TgS_FL 0817.JPG,Tomato__Target_Spot,leaf_disease,False,0,agriculture,train
