epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.2833,1.13595,0.36283,0.9292,3.20363,0.0031,0.0031,0.0721
2,68.3648,0.96788,0.65929,0.99558,0.85691,0.0060921,0.0060921,0.0430921
3,111.441,0.92178,0.54425,0.99558,1.88185,0.008873,0.008873,0.013873
4,149.19,0.87892,0.47345,0.98673,1.9963,0.00901,0.00901,0.00901
5,183.973,0.86027,0.56637,1,1.15658,0.00868,0.00868,0.00868
6,215.807,0.7999,0.69912,1,0.78141,0.00835,0.00835,0.00835
7,251.574,0.75936,0.75221,0.99558,0.70494,0.00802,0.00802,0.00802
8,291.896,0.87551,0.71681,0.97788,0.8537,0.00769,0.00769,0.00769
9,334.276,0.65793,0.63274,1,1.17574,0.00736,0.00736,0.00736
10,367.809,0.62004,0.70796,1,0.8628,0.00703,0.00703,0.00703
11,401.489,0.67138,0.83628,1,0.46281,0.0067,0.0067,0.0067
12,444.999,0.50921,0.80531,1,0.62466,0.00637,0.00637,0.00637
13,483.914,0.49725,0.76106,0.99115,0.70355,0.00604,0.00604,0.00604
14,525.794,0.51263,0.78319,1,0.5753,0.00571,0.00571,0.00571
15,568.733,0.50075,0.76991,1,0.66457,0.00538,0.00538,0.00538
16,611.942,0.46101,0.87611,0.99558,0.35344,0.00505,0.00505,0.00505
17,656.132,0.4309,0.81416,0.99558,0.4985,0.00472,0.00472,0.00472
18,702.552,0.4628,0.85398,0.99558,0.34903,0.00439,0.00439,0.00439
19,751.873,0.38762,0.82743,0.99558,0.4729,0.00406,0.00406,0.00406
20,795.301,0.40344,0.84071,0.99558,0.42301,0.00373,0.00373,0.00373
21,836.236,0.32094,0.90708,1,0.28665,0.0034,0.0034,0.0034
22,870.081,0.40799,0.88496,1,0.3881,0.00307,0.00307,0.00307
23,904.475,0.30557,0.91593,0.99558,0.25246,0.00274,0.00274,0.00274
24,937.634,0.32215,0.87611,0.99558,0.32451,0.00241,0.00241,0.00241
25,972.117,0.27067,0.9115,0.99558,0.224,0.00208,0.00208,0.00208
26,1004.75,0.27347,0.93363,0.99558,0.19109,0.00175,0.00175,0.00175
27,1048.06,0.27814,0.9292,0.99558,0.2462,0.00142,0.00142,0.00142
28,1092.98,0.26842,0.92035,0.99558,0.24769,0.00109,0.00109,0.00109
29,1128.73,0.24187,0.92478,1,0.20037,0.00076,0.00076,0.00076
30,1160.88,0.2137,0.93805,1,0.18242,0.00043,0.00043,0.00043
